U1,U2,Position
12.012426,6.622791,Central Midfielders
5.5308776,7.8999915,Central Midfielders
-5.3258314,14.636197,Young High Performers
-5.351683,14.580677,Young High Performers
-4.543297,13.865776,Young High Performers
10.513709,5.5205746,Defensive Midfielders / Wing Backs
5.44632,8.66703,Central Midfielders
6.7597184,8.895293,Central Midfielders
-6.1726475,2.3190734,Goalkeepers
-6.2204986,2.214586,Goalkeepers
11.48463,4.127714,Attacking Midfielders
11.014692,5.794969,Defensive Midfielders / Wing Backs
5.8725967,9.042762,Central Midfielders
6.5805326,8.853457,Central Midfielders
-4.954448,14.163771,Young High Performers
12.628251,3.9610143,Defensive Midfielders / Wing Backs
5.577,8.752331,Central Midfielders
9.556371,2.2732565,Wingers
-4.533515,13.238841,Young High Performers
10.401949,3.1801157,Attacking Midfielders
10.664675,2.2865703,Attacking Midfielders
10.933404,8.4686775,Central Defenders
6.194501,8.187535,Central Midfielders
7.1258326,8.126704,Central Midfielders
9.810799,3.8486803,Attacking Midfielders
7.307534,10.707972,Central Defenders
6.982536,10.738588,Central Defenders
5.9707675,10.126703,Central Midfielders
5.8763566,10.023264,Central Midfielders
10.144757,5.989326,Defensive Midfielders / Wing Backs
10.685345,4.2135787,Defensive Midfielders / Wing Backs
7.1709156,7.8158803,Central Midfielders
5.5702624,8.058954,Central Midfielders
5.5530286,9.109841,Central Midfielders
5.65094,8.784504,Central Midfielders
12.243025,6.845982,Defensive Midfielders / Wing Backs
6.5431876,10.187286,Central Defenders
7.052378,10.558382,Central Defenders
7.0902014,10.444705,Central Defenders
9.45618,1.8297285,Wingers
10.305218,2.5873492,Wingers
10.635668,4.002453,Wingers
10.765084,2.6070054,Wingers
11.687352,9.39987,Central Defenders
11.356513,5.098794,Defensive Midfielders / Wing Backs
10.835665,3.2367969,Attacking Midfielders
11.836153,5.073584,Defensive Midfielders / Wing Backs
9.735431,3.008873,Attacking Midfielders
9.526667,3.2717783,Attacking Midfielders
7.317557,8.023234,Central Midfielders
6.525642,8.024174,Central Midfielders
10.488142,2.5746777,Wingers
7.082661,8.355991,Central Midfielders
10.807122,4.1988707,Defensive Midfielders / Wing Backs
12.217711,4.8800087,Attacking Midfielders
11.804354,6.6260343,Defensive Midfielders / Wing Backs
10.965798,7.5991306,Central Defenders
6.7075014,8.865309,Central Midfielders
5.890136,9.617739,Central Midfielders
12.184128,8.1903515,Central Defenders
10.802583,3.1670108,Attacking Midfielders
10.365363,3.9234734,Attacking Midfielders
5.85939,9.350282,Central Midfielders
11.002004,8.758372,Central Defenders
7.533573,10.478421,Central Defenders
10.796417,3.1287172,Attacking Midfielders
10.494393,3.8784146,Attacking Midfielders
6.7394567,7.404653,Attacking Midfielders
11.408683,4.4227095,Attacking Midfielders
10.157344,3.2559433,Attacking Midfielders
11.06271,1.7902243,Wingers
10.917301,9.058282,Central Defenders
10.964278,9.205465,Central Defenders
6.305173,7.033211,Central Midfielders
11.612769,8.887583,Central Defenders
7.4218054,10.897139,Central Defenders
7.0565133,10.787523,Central Defenders
10.300318,9.441687,Central Defenders
6.717641,10.696932,Central Defenders
11.819523,2.7839575,Attacking Midfielders
11.319831,3.3221254,Attacking Midfielders
9.400967,2.8191047,Wingers
7.092872,8.717922,Central Midfielders
7.2148914,6.5352993,Central Midfielders
9.34751,2.8285968,Wingers
10.5594845,6.4665074,Defensive Midfielders / Wing Backs
10.12429,3.8330212,Attacking Midfielders
10.164867,6.129119,Defensive Midfielders / Wing Backs
7.0913477,7.49591,Central Midfielders
11.0689335,4.5276847,Attacking Midfielders
10.1657095,6.066726,Defensive Midfielders / Wing Backs
10.483775,5.9363813,Defensive Midfielders / Wing Backs
7.0610714,8.230087,Central Midfielders
10.989274,4.000478,Attacking Midfielders
10.942976,3.903897,Attacking Midfielders
11.398456,5.4997764,Defensive Midfielders / Wing Backs
6.06525,8.160668,Central Midfielders
11.8208275,5.916339,Defensive Midfielders / Wing Backs
-4.717601,12.926638,Young High Performers
9.648599,2.8356526,Attacking Midfielders
9.846726,1.6978507,Wingers
6.2294674,7.0453463,Central Midfielders
11.425226,3.0505474,Attacking Midfielders
12.105501,7.174441,Defensive Midfielders / Wing Backs
6.0172205,9.110694,Central Midfielders
5.881,9.334524,Central Midfielders
11.641567,6.6069107,Defensive Midfielders / Wing Backs
7.757315,7.928771,Central Midfielders
7.6209984,7.9337773,Central Midfielders
-5.545724,0.0044324575,Goalkeepers
-6.2649436,2.4075568,Goalkeepers
6.5324717,7.8635535,Central Midfielders
10.0786085,4.5552473,Attacking Midfielders
6.96683,10.459775,Central Defenders
5.718005,8.496264,Central Midfielders
6.4561996,9.127283,Central Midfielders
6.056816,8.504048,Central Midfielders
10.359968,3.6868663,Attacking Midfielders
7.159253,7.589876,Central Midfielders
6.3720703,8.515057,Central Midfielders
6.0457435,8.511797,Central Midfielders
-5.8370695,0.48885256,Goalkeepers
-5.478604,0.33537102,Goalkeepers
-5.6877522,0.23702878,Goalkeepers
6.417241,10.966043,Central Defenders
10.142153,4.064322,Defensive Midfielders / Wing Backs
7.5156164,7.663506,Central Midfielders
7.451379,7.702704,Central Midfielders
-4.4782495,13.419358,Young High Performers
5.7951155,8.259477,Central Midfielders
11.979514,6.599982,Defensive Midfielders / Wing Backs
10.818996,6.6386366,Defensive Midfielders / Wing Backs
10.23957,6.734791,Defensive Midfielders / Wing Backs
10.277132,6.7925096,Defensive Midfielders / Wing Backs
11.651707,3.9178824,Attacking Midfielders
10.07009,3.7725477,Attacking Midfielders
11.197918,2.2911754,Wingers
12.633892,3.5103621,Defensive Midfielders / Wing Backs
-5.685382,1.0160154,Goalkeepers
-5.7330947,1.0786988,Goalkeepers
11.322518,1.8239394,Wingers
10.926924,4.4924726,Attacking Midfielders
6.843057,8.629513,Central Midfielders
7.02518,8.610283,Central Midfielders
10.378698,2.5029132,Attacking Midfielders
10.566827,1.6375066,Wingers
7.357975,8.326844,Central Midfielders
7.32511,8.359369,Central Midfielders
7.1700335,9.880581,Central Defenders
10.921315,4.4185677,Defensive Midfielders / Wing Backs
6.35615,8.154253,Central Midfielders
10.450678,3.6585486,Attacking Midfielders
6.6613016,6.8941684,Central Midfielders
9.897532,6.5014076,Defensive Midfielders / Wing Backs
9.905865,6.5228567,Defensive Midfielders / Wing Backs
7.159599,8.166961,Central Midfielders
5.793348,7.6495686,Central Midfielders
12.224531,4.530825,Attacking Midfielders
6.767996,8.629006,Central Midfielders
11.213424,6.1813726,Defensive Midfielders / Wing Backs
6.5424275,7.700393,Central Midfielders
11.355441,5.228859,Attacking Midfielders
11.088624,9.128111,Central Defenders
11.253021,9.220646,Central Defenders
11.052397,2.3174071,Attacking Midfielders
9.709442,3.053752,Attacking Midfielders
5.616823,9.342867,Central Midfielders
5.715544,8.382835,Central Midfielders
12.175438,4.677617,Attacking Midfielders
11.437771,1.1664393,Strikers
6.7685513,10.509609,Central Defenders
11.930911,3.989838,Attacking Midfielders
11.919969,3.5786753,Attacking Midfielders
11.126653,2.8522182,Strikers
11.591114,3.0112941,Attacking Midfielders
11.182127,3.3993814,Defensive Midfielders / Wing Backs
7.7781773,9.771935,Central Midfielders
10.686339,7.542137,Defensive Midfielders / Wing Backs
7.5086384,9.167638,Central Defenders
9.371704,9.656212,Central Defenders
6.9625196,10.203702,Central Defenders
10.610715,8.595834,Central Defenders
7.00064,8.642892,Central Midfielders
10.489129,5.7557197,Defensive Midfielders / Wing Backs
10.816087,5.369637,Defensive Midfielders / Wing Backs
10.187014,4.9860363,Attacking Midfielders
11.483064,9.106534,Central Defenders
9.39435,9.6304455,Central Defenders
6.5304995,9.379018,Central Defenders
12.359111,6.488616,Defensive Midfielders / Wing Backs
-6.248944,0.72029126,Goalkeepers
-6.084802,0.6516145,Goalkeepers
9.8458185,9.341194,Central Defenders
10.840261,8.761318,Central Defenders
10.520213,8.203749,Central Defenders
10.828803,6.2760696,Defensive Midfielders / Wing Backs
10.631166,6.2405167,Defensive Midfielders / Wing Backs
12.299505,6.519187,Defensive Midfielders / Wing Backs
-6.0075064,2.2515683,Goalkeepers
11.049628,3.518213,Wingers
6.2896314,9.643089,Central Defenders
11.683656,9.040111,Central Defenders
6.2880917,10.481997,Central Defenders
10.5244,4.806793,Attacking Midfielders
11.445361,4.710722,Attacking Midfielders
7.00756,8.030143,Central Midfielders
-5.4016604,0.25421163,Goalkeepers
-5.2863874,0.63924885,Goalkeepers
-5.69397,-0.048983492,Goalkeepers
-5.528674,-0.31418702,Goalkeepers
-6.124055,-0.24890561,Goalkeepers
10.785088,4.9119134,Defensive Midfielders / Wing Backs
11.087371,6.895616,Defensive Midfielders / Wing Backs
6.0660677,8.504562,Central Midfielders
7.715158,9.493743,Central Defenders
5.444574,7.566695,Central Midfielders
5.4112177,8.751269,Central Midfielders
11.294036,5.8836164,Defensive Midfielders / Wing Backs
12.264828,4.5093355,Attacking Midfielders
10.6241,8.402355,Defensive Midfielders / Wing Backs
10.400402,9.020784,Central Defenders
10.975665,8.41327,Central Defenders
7.1653304,9.662665,Central Defenders
14.237092,-8.447204,Strikers - Goalscorers
10.26722,2.2813997,Wingers
10.599319,1.6368299,Strikers
-5.2341213,-0.004708572,Goalkeepers
-6.094695,-0.17763701,Goalkeepers
-6.2900395,0.5580617,Goalkeepers
-4.5641465,15.4224,Young High Performers
-5.727889,0.41158023,Goalkeepers
9.939488,2.2644691,Wingers
10.3830385,1.7921221,Wingers
6.3765254,10.616497,Central Defenders
7.1599274,6.6047235,Central Midfielders
9.251476,2.7827802,Wingers
14.141285,-8.378913,Strikers - Goalscorers
10.870116,2.3763292,Wingers
-5.296055,0.66505015,Goalkeepers
11.144484,8.810296,Central Defenders
11.868118,6.549236,Defensive Midfielders / Wing Backs
7.4636455,7.7291145,Central Midfielders
9.934384,5.9443073,Defensive Midfielders / Wing Backs
10.977076,1.845775,Strikers
11.892642,3.7034533,Attacking Midfielders
11.948588,3.6043139,Attacking Midfielders
12.758981,3.458329,Defensive Midfielders / Wing Backs
11.655217,4.3099184,Defensive Midfielders / Wing Backs
10.564299,4.9693117,Attacking Midfielders
10.650601,5.222427,Attacking Midfielders
10.733691,4.4834256,Attacking Midfielders
10.106488,4.7334332,Attacking Midfielders
11.032642,3.61721,Attacking Midfielders
11.277782,1.9289068,Strikers
11.344776,2.5647457,Attacking Midfielders
11.160472,1.3082114,Strikers
11.198096,8.024309,Defensive Midfielders / Wing Backs
5.537177,8.824974,Central Midfielders
7.7756014,8.312776,Central Midfielders
6.687118,8.704708,Central Midfielders
5.683609,8.526,Central Midfielders
11.8551655,6.152677,Defensive Midfielders / Wing Backs
5.588266,8.295282,Central Midfielders
11.749596,5.5570097,Attacking Midfielders
11.080846,3.8482652,Defensive Midfielders / Wing Backs
6.068452,7.6024117,Central Midfielders
7.0038457,8.209155,Central Midfielders
11.209028,5.759422,Defensive Midfielders / Wing Backs
10.533741,6.065635,Defensive Midfielders / Wing Backs
-5.903948,-0.27047616,Goalkeepers
9.845542,2.6711237,Wingers
6.6022773,10.372002,Central Defenders
6.7311506,9.539893,Central Midfielders
9.355248,2.4537034,Wingers
11.203514,2.9507647,Attacking Midfielders
11.698663,2.8968809,Attacking Midfielders
7.3067365,8.00268,Central Midfielders
5.7174263,8.465077,Central Midfielders
10.812136,3.1576025,Attacking Midfielders
11.286617,3.3751757,Attacking Midfielders
9.751757,4.116114,Attacking Midfielders
